PANTONENAME,UNIQUECODE,RED,GREEN,BLUE
PANTONE 176 C,10463,80,30,6
PANTONE 1765 C,10464,77,35,6
PANTONE 1767 C,10465,79,30,3
PANTONE 177 C,10466,69,49,17
PANTONE 1775 C,10467,72,45,9
PANTONE 1777 C,10468,63,60,17
PANTONE 178 C,10469,62,64,34
PANTONE 1785 C,10470,58,68,28
PANTONE 1787 C,10471,55,71,35
PANTONE 1788 C,10472,52,72,43
PANTONE 179 C,10473,52,63,45
PANTONE 1795 C,10474,47,65,40
PANTONE 1797 C,10475,47,59,33
PANTONE 180 C,10476,45,52,34
PANTONE 1805 C,10477,40,54,31
PANTONE 1807 C,10478,40,46,23
PANTONE 181 C,10479,32,34,20
PANTONE 1815 C,10480,29,38,19
PANTONE 1817 C,10481,28,23,8
PANTONE 182 C,10482,82,25,0
PANTONE 183 C,10483,75,39,4
PANTONE 184 C,10484,59,64,17
PANTONE 185 C,10485,49,74,46
PANTONE 186 C,10486,44,66,37
PANTONE 187 C,10487,37,55,27
PANTONE 188 C,10488,28,37,13
PANTONE 189 C,10489,76,34,1
PANTONE 1895 C,10490,81,26,-3
PANTONE 190 C,10491,66,52,5
PANTONE 1905 C,10492,74,37,-2
PANTONE 191 C,10493,56,68,16
PANTONE 1915 C,10494,58,65,8
PANTONE 192 C,10495,49,74,30
PANTONE 1925 C,10496,48,74,25
PANTONE 193 C,10497,42,64,25
PANTONE 1935 C,10498,42,67,26
PANTONE 194 C,10499,36,49,13
PANTONE 1945 C,10500,36,58,17
PANTONE 195 C,10501,31,34,6
PANTONE 1955 C,10502,31,49,11
PANTONE 196 C,10503,84,14,2
PANTONE 197 C,10504,72,30,2
PANTONE 198 C,10505,54,60,20
PANTONE 199 C,10506,46,71,38
PANTONE 200 C,10507,40,63,32
PANTONE 2001 C,10508,91,-2,39
PANTONE 2002 C,10509,90,-2,52
PANTONE 2003 C,10510,90,-3,61
PANTONE 2004 C,10511,89,1,51
PANTONE 2005 C,10512,88,5,47
PANTONE 2006 C,10513,79,8,59
PANTONE 2007 C,10514,72,14,67
PANTONE 2008 C,10515,81,9,47
PANTONE 2009 C,10516,78,14,50
PANTONE 201 C,10517,36,50,21
PANTONE 2010 C,10518,78,22,79
PANTONE 2011 C,10519,71,25,63
PANTONE 2012 C,10520,70,28,74
PANTONE 2013 C,10521,73,33,77
PANTONE 2014 C,10522,54,24,61
PANTONE 2015 C,10523,86,11,24
PANTONE 2016 C,10524,80,22,44
PANTONE 2017 C,10525,77,23,43
PANTONE 2018 C,10526,66,49,73
PANTONE 2019 C,10527,58,39,65
PANTONE 202 C,10528,32,41,16
PANTONE 2020 C,10529,49,40,58
PANTONE 2021 C,10530,42,33,44
PANTONE 2022 C,10531,77,27,27
PANTONE 2023 C,10532,72,37,36
PANTONE 2024 C,10533,67,45,43
PANTONE 2025 C,10534,70,41,59
PANTONE 2026 C,10535,61,55,50
PANTONE 2027 C,10536,57,59,44
PANTONE 2028 C,10537,53,67,65
PANTONE 2029 C,10538,67,43,21
PANTONE 203 C,10539,79,23,-4
