PANTONENAME,UNIQUECODE,RED,GREEN,BLUE
PANTONE 807 C,12700,55,79,-34
PANTONE 808 C,12701,66,-47,4
PANTONE 8080 C,12702,58,7,-6
PANTONE 8081 C,12703,53,20,-10
PANTONE 8082 C,12704,49,28,-12
PANTONE 8083 C,12705,45,39,-15
PANTONE 8084 C,12706,42,48,-10
PANTONE 8085 C,12707,39,51,-4
PANTONE 809 C,12708,89,-16,80
PANTONE 810 C,12709,87,4,77
PANTONE 8100 C,12710,55,12,-11
PANTONE 8101 C,12711,51,20,-15
PANTONE 8102 C,12712,48,27,-19
PANTONE 8103 C,12713,43,36,-24
PANTONE 8104 C,12714,39,45,-19
PANTONE 8105 C,12715,36,46,-13
PANTONE 811 C,12716,71,40,37
PANTONE 812 C,12717,64,65,-3
PANTONE 8120 C,12718,58,5,-8
PANTONE 8121 C,12719,55,10,-12
PANTONE 8122 C,12720,50,17,-17
PANTONE 8123 C,12721,45,27,-24
PANTONE 8124 C,12722,42,33,-20
PANTONE 8125 C,12723,39,33,-16
PANTONE 813 C,12724,61,75,-26
PANTONE 814 C,12725,52,31,-52
PANTONE 8140 C,12726,54,8,-13
PANTONE 8141 C,12727,50,11,-18
PANTONE 8142 C,12728,45,20,-28
PANTONE 8143 C,12729,40,26,-34
PANTONE 8144 C,12730,39,23,-23
PANTONE 8145 C,12731,36,24,-21
PANTONE 8160 C,12732,58,2,-8
PANTONE 8161 C,12733,54,3,-14
PANTONE 8162 C,12734,44,12,-30
PANTONE 8163 C,12735,40,17,-38
PANTONE 8164 C,12736,36,20,-38
PANTONE 8165 C,12737,33,21,-37
PANTONE 8180 C,12738,59,-3,-7
PANTONE 8181 C,12739,53,-4,-19
PANTONE 8182 C,12740,47,-3,-28
PANTONE 8183 C,12741,41,1,-39
PANTONE 8184 C,12742,37,-2,-38
PANTONE 8185 C,12743,32,0,-35
PANTONE 8200 C,12744,58,-7,-10
PANTONE 8201 C,12745,55,-9,-14
PANTONE 8202 C,12746,52,-11,-21
PANTONE 8203 C,12747,48,-14,-29
PANTONE 8204 C,12748,46,-15,-19
PANTONE 8205 C,12749,43,-15,-17
PANTONE 8220 C,12750,57,-8,-10
PANTONE 8221 C,12751,55,-11,-15
PANTONE 8222 C,12752,53,-16,-20
PANTONE 8223 C,12753,50,-20,-25
PANTONE 8224 C,12754,45,-23,-22
PANTONE 8225 C,12755,41,-22,-18
PANTONE 8240 C,12756,60,-5,-4
PANTONE 8241 C,12757,56,-13,-10
PANTONE 8242 C,12758,55,-18,-14
PANTONE 8243 C,12759,52,-23,-19
PANTONE 8244 C,12760,49,-22,-10
PANTONE 8245 C,12761,47,-23,-7
PANTONE 8260 C,12762,58,-8,-5
PANTONE 8261 C,12763,56,-13,-7
PANTONE 8262 C,12764,53,-19,-8
PANTONE 8263 C,12765,50,-26,-9
PANTONE 8264 C,12766,46,-26,-6
PANTONE 8265 C,12767,41,-28,-2
PANTONE 8280 C,12768,60,-9,-3
PANTONE 8281 C,12769,59,-14,-3
PANTONE 8282 C,12770,58,-21,-4
PANTONE 8283 C,12771,57,-30,-3
PANTONE 8284 C,12772,55,-24,3
PANTONE 8285 C,12773,53,-27,7
PANTONE 8300 C,12774,61,-10,3
PANTONE 8301 C,12775,59,-15,5
PANTONE 8302 C,12776,58,-21,8
PANTONE 8303 C,12777,57,-29,13
PANTONE 8304 C,12778,55,-23,15
PANTONE 8305 C,12779,51,-23,18
PANTONE 8320 C,12780,61,-5,2
PANTONE 8321 C,12781,60,-13,14
PANTONE 8322 C,12782,60,-18,20
PANTONE 8323 C,12783,59,-25,27
PANTONE 8324 C,12784,58,-20,29
PANTONE 8325 C,12785,55,-19,32
PANTONE 8340 C,12786,61,-6,12
PANTONE 8341 C,12787,61,-10,19
PANTONE 8342 C,12788,62,-13,29
PANTONE 8343 C,12789,61,-17,37
PANTONE 8344 C,12790,59,-16,46
PANTONE 8345 C,12791,57,-14,51
PANTONE 8360 C,12792,62,-6,15
PANTONE 8361 C,12793,62,-7,25
PANTONE 8362 C,12794,63,-7,35
PANTONE 8363 C,12795,64,-6,47
PANTONE 8364 C,12796,61,-3,44
PANTONE 8365 C,12797,59,-1,48
PANTONE 8380 C,12798,61,-2,7
PANTONE 8381 C,12799,60,-2,14
PANTONE 8382 C,12800,60,0,22
PANTONE 8383 C,12801,60,3,29
PANTONE 8384 C,12802,57,8,41
PANTONE 8385 C,12803,55,10,44
PANTONE 8400 C,12804,56,0,0
PANTONE 8401 C,12805,53,-1,1
PANTONE 8402 C,12806,47,0,0
PANTONE 8403 C,12807,40,0,1
PANTONE 8404 C,12808,34,1,3
PANTONE 8405 C,12809,30,2,4
PANTONE 8420 C,12810,59,1,-1
PANTONE 8421 C,12811,54,1,-1
PANTONE 8422 C,12812,48,1,1
PANTONE 8423 C,12813,41,2,1
PANTONE 8424 C,12814,37,6,4
PANTONE 8425 C,12815,34,6,6
PANTONE 8440 C,12816,57,8,2
PANTONE 8441 C,12817,55,14,6
PANTONE 8442 C,12818,52,22,8
PANTONE 8443 C,12819,50,29,14
PANTONE 8444 C,12820,47,36,23
PANTONE 8445 C,12821,45,39,26
PANTONE 8460 C,12822,58,2,-3
PANTONE 8461 C,12823,53,5,-4
PANTONE 8462 C,12824,50,7,-4
PANTONE 8463 C,12825,45,10,-5
PANTONE 8464 C,12826,37,18,-3
PANTONE 8465 C,12827,36,18,0
PANTONE 8480 C,12828,41,-10,-14
PANTONE 8481 C,12829,40,-3,-15
PANTONE 8482 C,12830,34,-8,-20
PANTONE 8483 C,12831,27,-6,-27
PANTONE 8484 C,12832,33,-6,-30
PANTONE 8485 C,12833,38,-6,-32
PANTONE 8500 C,12834,53,-6,-1
PANTONE 8501 C,12835,48,-15,4
PANTONE 8502 C,12836,39,-10,-8
PANTONE 8503 C,12837,24,-6,-7
PANTONE 8504 C,12838,31,-9,-13
PANTONE 8505 C,12839,35,-10,-12
PANTONE 8520 C,12840,49,-3,15
PANTONE 8521 C,12841,35,-5,9
PANTONE 8522 C,12842,30,-7,4
PANTONE 8523 C,12843,24,-8,2
PANTONE 8524 C,12844,29,-10,-3
PANTONE 8525 C,12845,32,-9,-5
PANTONE 8540 C,12846,39,25,7
PANTONE 8541 C,12847,33,20,5
PANTONE 8542 C,12848,27,24,6
PANTONE 8543 C,12849,26,22,-3
PANTONE 8544 C,12850,30,21,-8
PANTONE 8545 C,12851,31,19,-9
PANTONE 8560 C,12852,37,18,18
PANTONE 8561 C,12853,35,22,10
PANTONE 8562 C,12854,32,25,6
PANTONE 8563 C,12855,34,20,12
PANTONE 8564 C,12856,37,18,9
PANTONE 8565 C,12857,38,17,5
PANTONE 8580 C,12858,49,13,32
PANTONE 8581 C,12859,42,14,30
PANTONE 8582 C,12860,39,14,30
PANTONE 8583 C,12861,33,15,30
PANTONE 8584 C,12862,34,13,25
PANTONE 8585 C,12863,36,12,22
PANTONE 8600 C,12864,37,1,2
PANTONE 8601 C,12865,30,2,3
PANTONE 8602 C,12866,25,1,-2
PANTONE 8603 C,12867,20,1,-8
PANTONE 8604 C,12868,24,0,-11
PANTONE 8605 C,12869,28,-2,-12
PANTONE 8620 C,12870,41,7,20
PANTONE 8621 C,12871,34,7,15
PANTONE 8622 C,12872,29,4,12
PANTONE 8623 C,12873,25,2,6
PANTONE 8624 C,12874,26,1,5
PANTONE 8625 C,12875,28,1,4
PANTONE 8640 C,12876,54,7,45
PANTONE 8641 C,12877,58,6,54
PANTONE 8642 C,12878,59,5,61
PANTONE 8643 C,12879,59,6,63
PANTONE 8644 C,12880,61,1,60
PANTONE 8645 C,12881,61,-2,54
PANTONE 8660 C,12882,52,2,41
PANTONE 8661 C,12883,52,-4,49
PANTONE 8662 C,12884,53,-7,51
PANTONE 8663 C,12885,54,-13,54
PANTONE 8664 C,12886,57,-14,51
PANTONE 8665 C,12887,58,-15,44
PANTONE 8680 C,12888,48,-4,31
PANTONE 8681 C,12889,50,-9,38
PANTONE 8682 C,12890,51,-18,41
PANTONE 8683 C,12891,52,-26,45
PANTONE 8684 C,12892,52,-26,39
PANTONE 8685 C,12893,54,-27,35
PANTONE 8700 C,12894,48,-7,21
PANTONE 8701 C,12895,48,-15,28
PANTONE 8702 C,12896,49,-23,29
PANTONE 8703 C,12897,48,-32,29
PANTONE 8704 C,12898,51,-32,24
PANTONE 8705 C,12899,53,-31,20
PANTONE 871 C,12900,50,1,23
PANTONE 872 C,12901,49,3,23
PANTONE 8720 C,12902,43,-16,9
PANTONE 8721 C,12903,46,-18,13
PANTONE 8722 C,12904,44,-26,11
PANTONE 8723 C,12905,48,-36,10
PANTONE 8724 C,12906,51,-34,6
PANTONE 8725 C,12907,53,-33,3
PANTONE 873 C,12908,48,6,23
PANTONE 874 C,12909,49,7,23
PANTONE 8740 C,12910,41,-16,1
PANTONE 8741 C,12911,40,-25,5
PANTONE 8742 C,12912,41,-23,0
PANTONE 8743 C,12913,40,-28,-7
PANTONE 8744 C,12914,43,-27,-11
PANTONE 8745 C,12915,45,-26,-14
PANTONE 875 C,12916,46,11,18
PANTONE 876 C,12917,46,14,19
PANTONE 8760 C,12918,38,-22,-6
PANTONE 8761 C,12919,36,-22,-13
PANTONE 8762 C,12920,36,-16,-12
PANTONE 8763 C,12921,32,-16,-21
PANTONE 8764 C,12922,37,-16,-24
PANTONE 8765 C,12923,40,-15,-25
PANTONE 877 C,12924,59,-1,-2
PANTONE 8780 C,12925,26,8,-22
PANTONE 8781 C,12926,28,1,-18
PANTONE 8782 C,12927,25,12,-36
PANTONE 8783 C,12928,23,6,-36
PANTONE 8784 C,12929,29,4,-36
PANTONE 8785 C,12930,33,3,-37
PANTONE 8800 C,12931,28,20,-15
PANTONE 8801 C,12932,28,18,-20
PANTONE 8802 C,12933,23,22,-30
PANTONE 8803 C,12934,24,25,-27
PANTONE 8804 C,12935,28,23,-29
PANTONE 8805 C,12936,31,21,-31
PANTONE 8820 C,12937,37,34,-3
PANTONE 8821 C,12938,33,40,-9
PANTONE 8822 C,12939,31,30,-18
PANTONE 8823 C,12940,26,34,-25
PANTONE 8824 C,12941,31,31,-29
PANTONE 8825 C,12942,32,31,-33
PANTONE 8840 C,12943,38,37,3
PANTONE 8841 C,12944,35,43,-1
PANTONE 8842 C,12945,33,49,-7
PANTONE 8843 C,12946,30,47,-15
PANTONE 8844 C,12947,33,44,-20
PANTONE 8845 C,12948,35,37,-22
PANTONE 8860 C,12949,40,34,19
PANTONE 8861 C,12950,38,37,12
PANTONE 8862 C,12951,36,45,9
PANTONE 8863 C,12952,34,50,12
PANTONE 8864 C,12953,35,46,2
PANTONE 8865 C,12954,37,41,-4
PANTONE 8880 C,12955,42,29,14
PANTONE 8881 C,12956,41,38,9
PANTONE 8882 C,12957,41,49,3
PANTONE 8883 C,12958,41,48,21
PANTONE 8884 C,12959,41,43,14
PANTONE 8885 C,12960,42,40,9
PANTONE 8900 C,12961,45,32,30
PANTONE 8901 C,12962,48,41,32
PANTONE 8902 C,12963,48,41,22
PANTONE 8903 C,12964,47,48,24
PANTONE 8904 C,12965,48,45,17
PANTONE 8905 C,12966,48,41,14
PANTONE 8920 C,12967,47,26,28
PANTONE 8921 C,12968,47,37,42
PANTONE 8922 C,12969,47,40,53
PANTONE 8923 C,12970,47,43,46
PANTONE 8924 C,12971,47,40,40
PANTONE 8925 C,12972,47,36,34
PANTONE 8940 C,12973,49,23,41
PANTONE 8941 C,12974,48,27,48
PANTONE 8942 C,12975,48,32,54
PANTONE 8943 C,12976,50,37,58
PANTONE 8944 C,12977,50,33,53
PANTONE 8945 C,12978,50,29,43
PANTONE 8960 C,12979,51,13,42
PANTONE 8961 C,12980,50,21,49
PANTONE 8962 C,12981,52,21,58
PANTONE 8963 C,12982,51,29,58
PANTONE 8964 C,12983,51,25,50
PANTONE 8965 C,12984,52,20,43
PANTONE 901 C,12985,64,-25,-35
PANTONE 902 C,12986,85,-45,48
PANTONE 9020 C,12987,93,-5,18
PANTONE 9021 C,12988,93,2,2
PANTONE 9022 C,12989,92,3,-1
PANTONE 9023 C,12990,91,3,-3
PANTONE 903 C,12991,95,-8,64
PANTONE 904 C,12992,86,12,40
PANTONE 9040 C,12993,92,-5,-4
PANTONE 9041 C,12994,92,-5,1
PANTONE 9042 C,12995,92,-3,1
PANTONE 9043 C,12996,91,-1,3
PANTONE 9044 C,12997,88,-10,-3
PANTONE 9045 C,12998,87,-8,-2
PANTONE 905 C,12999,75,37,10
PANTONE 906 C,13000,70,58,-23
PANTONE 9060 C,13001,94,-3,11
PANTONE 9061 C,13002,93,3,0
PANTONE 9062 C,13003,93,-4,0
PANTONE 9063 C,13004,94,-4,2
PANTONE 9064 C,13005,95,-3,8
PANTONE 907 C,13006,65,63,-33
PANTONE 908 C,13007,66,-27,-34
PANTONE 9080 C,13008,90,-1,3
PANTONE 9081 C,13009,88,0,4
PANTONE 9082 C,13010,82,0,5
PANTONE 9083 C,13011,81,-1,5
PANTONE 9084 C,13012,69,0,5
PANTONE 909 C,13013,88,-36,40
PANTONE 910 C,13014,95,-7,50
PANTONE 9100 C,13015,92,-2,3
PANTONE 9101 C,13016,90,-2,3
PANTONE 9102 C,13017,87,-2,2
PANTONE 9103 C,13018,86,-2,2
PANTONE 911 C,13019,89,7,31
PANTONE 912 C,13020,79,32,7
PANTONE 9120 C,13021,94,-6,27
PANTONE 9121 C,13022,94,-7,31
PANTONE 9122 C,13023,90,-5,21
PANTONE 9123 C,13024,86,-3,16
PANTONE 913 C,13025,74,48,-20
PANTONE 914 C,13026,70,54,-29
PANTONE 9140 C,13027,94,-3,17
PANTONE 9141 C,13028,94,-4,21
PANTONE 9142 C,13029,90,-3,15
PANTONE 9143 C,13030,89,-2,14
PANTONE 915 C,13031,70,-31,-32
PANTONE 916 C,13032,89,-28,30
PANTONE 9160 C,13033,91,0,20
PANTONE 9161 C,13034,88,0,18
PANTONE 9162 C,13035,87,0,12
PANTONE 9163 C,13036,83,0,12
PANTONE 917 C,13037,95,-8,39
PANTONE 918 C,13038,91,6,25
PANTONE 9180 C,13039,92,2,13
PANTONE 9181 C,13040,91,2,15
PANTONE 9182 C,13041,89,2,11
PANTONE 9183 C,13042,87,2,10
PANTONE 9184 C,13043,91,0,11
PANTONE 9185 C,13044,90,1,10
PANTONE 9186 C,13045,85,2,9
PANTONE 919 C,13046,84,24,5
PANTONE 920 C,13047,80,36,-15
PANTONE 9200 C,13048,91,4,12
PANTONE 9201 C,13049,91,3,13
PANTONE 9202 C,13050,89,3,10
PANTONE 9203 C,13051,86,3,10
PANTONE 921 C,13052,77,39,-21
PANTONE 922 C,13053,70,-47,2
PANTONE 9220 C,13054,90,4,11
PANTONE 9221 C,13055,87,5,11
PANTONE 9222 C,13056,86,5,8
PANTONE 9223 C,13057,85,3,7
PANTONE 9224 C,13058,93,1,7
PANTONE 9225 C,13059,92,1,8
PANTONE 9226 C,13060,91,1,6
PANTONE 923 C,13061,93,-15,63
PANTONE 924 C,13062,92,-2,58
PANTONE 9240 C,13063,92,4,4
PANTONE 9241 C,13064,89,5,4
PANTONE 9242 C,13065,87,5,6
PANTONE 9243 C,13066,84,5,5
PANTONE 9244 C,13067,93,2,4
PANTONE 925 C,13068,78,28,25
PANTONE 926 C,13069,71,51,-7
PANTONE 9260 C,13070,90,7,4
PANTONE 9261 C,13071,88,8,4
PANTONE 9262 C,13072,87,6,3
PANTONE 9263 C,13073,85,6,5
PANTONE 927 C,13074,69,60,-27
PANTONE 928 C,13075,57,28,-47
PANTONE 9280 C,13076,91,6,2
PANTONE 9281 C,13077,90,7,2
PANTONE 9282 C,13078,89,7,2
PANTONE 9283 C,13079,88,5,2
PANTONE 9284 C,13080,85,18,3
PANTONE 9285 C,13081,93,1,3
PANTONE 9286 C,13082,91,8,3
PANTONE 929 C,13083,73,-46,1
PANTONE 930 C,13084,94,-13,51
PANTONE 9300 C,13085,90,9,0
PANTONE 9301 C,13086,89,7,-1
PANTONE 9302 C,13087,85,10,0
PANTONE 9303 C,13088,86,8,0
PANTONE 931 C,13089,93,-2,51
PANTONE 932 C,13090,82,23,21
PANTONE 9320 C,13091,90,8,-3
PANTONE 9321 C,13092,87,9,-3
PANTONE 9322 C,13093,86,10,-4
PANTONE 9323 C,13094,84,9,-3
PANTONE 9324 C,13095,85,18,-9
PANTONE 933 C,13096,76,42,-8
PANTONE 934 C,13097,73,50,-24
PANTONE 9340 C,13098,89,5,-5
PANTONE 9341 C,13099,87,5,-6
PANTONE 9342 C,13100,86,5,-6
PANTONE 9343 C,13101,85,7,-7
PANTONE 9344 C,13102,78,16,-20
PANTONE 9345 C,13103,93,1,0
PANTONE 935 C,13104,65,21,-37
PANTONE 936 C,13105,79,-35,-2
PANTONE 9360 C,13106,87,4,-9
PANTONE 9361 C,13107,86,6,-9
PANTONE 9362 C,13108,86,4,-7
PANTONE 9363 C,13109,82,6,-9
PANTONE 937 C,13110,95,-11,37
PANTONE 938 C,13111,94,-3,36
PANTONE 9380 C,13112,90,0,-6
PANTONE 9381 C,13113,87,-1,-9
PANTONE 9382 C,13114,84,0,-12
PANTONE 9383 C,13115,85,0,-8
PANTONE 9384 C,13116,89,-1,-7
PANTONE 9385 C,13117,85,-1,-7
PANTONE 939 C,13118,87,15,15
PANTONE 940 C,13119,82,31,-9
PANTONE 9400 C,13120,89,-3,-7
PANTONE 9401 C,13121,89,-3,-8
PANTONE 9402 C,13122,89,-4,-5
PANTONE 9403 C,13123,86,-3,-8
PANTONE 941 C,13124,79,37,-19
PANTONE 942 C,13125,74,15,-27
PANTONE 9420 C,13126,89,-4,-8
PANTONE 9421 C,13127,88,-5,-7
PANTONE 9422 C,13128,86,-4,-8
PANTONE 9423 C,13129,83,-5,-8
PANTONE 9424 C,13130,88,-11,-6
PANTONE 9440 C,13131,87,-10,-9
PANTONE 9441 C,13132,87,-10,-10
PANTONE 9442 C,13133,86,-10,-9
PANTONE 9443 C,13134,84,-9,-8
PANTONE 9460 C,13135,92,-8,-5
PANTONE 9461 C,13136,87,-12,-7
PANTONE 9462 C,13137,85,-12,-7
PANTONE 9463 C,13138,85,-10,-6
PANTONE 9464 C,13139,84,-18,-15
PANTONE 9480 C,13140,90,-12,-4
PANTONE 9481 C,13141,90,-12,-5
PANTONE 9482 C,13142,88,-11,-6
PANTONE 9483 C,13143,86,-9,-2
PANTONE 9500 C,13144,89,-15,-5
PANTONE 9501 C,13145,86,-14,-3
PANTONE 9502 C,13146,88,-9,-2
PANTONE 9503 C,13147,87,-8,-1
PANTONE 9504 C,13148,85,-8,-2
PANTONE 9520 C,13149,93,-10,1
PANTONE 9521 C,13150,90,-8,0
PANTONE 9522 C,13151,90,-7,1
PANTONE 9523 C,13152,89,-6,1
PANTONE 9524 C,13153,89,-22,0
PANTONE 9525 C,13154,94,-5,4
PANTONE 9540 C,13155,93,-8,3
PANTONE 9541 C,13156,92,-6,2
PANTONE 9542 C,13157,86,-7,5
PANTONE 9543 C,13158,84,-8,5
PANTONE 9544 C,13159,94,-7,9
PANTONE 9560 C,13160,93,-8,7
PANTONE 9561 C,13161,90,-9,8
PANTONE 9562 C,13162,89,-7,8
PANTONE 9563 C,13163,87,-6,7
PANTONE 9580 C,13164,93,-9,15
PANTONE 9581 C,13165,91,-6,11
PANTONE 9582 C,13166,87,-4,9
PANTONE 9583 C,13167,84,-6,11
PANTONE 9584 C,13168,89,-6,10
PANTONE 9585 C,13169,87,-5,10
PANTONE 9600 C,13170,92,-7,16
PANTONE 9601 C,13171,91,-5,13
PANTONE 9602 C,13172,87,-5,14
PANTONE 9603 C,13173,86,-3,11
PANTONE Black 2 C,13174,19,-1,10
PANTONE Black 3 C,13175,15,-5,3
PANTONE Black 4 C,13176,17,3,8
PANTONE Black 5 C,13177,20,9,2
PANTONE Black 6 C,13178,8,-3,-6
PANTONE Black 7 C,13179,25,0,4
PANTONE Black C,13180,17,1,2
PANTONE Blue 072 C,13181,17,46,-77
PANTONE Bright Red C,13182,56,70,58
PANTONE Cool Gray 1 C,13183,87,-1,0
PANTONE Cool Gray 10 C,13184,43,-2,-3
PANTONE Cool Gray 11 C,13185,37,-2,-3
PANTONE Cool Gray 2 C,13186,84,-1,1
PANTONE Cool Gray 3 C,13187,81,-1,1
PANTONE Cool Gray 4 C,13188,76,0,0
PANTONE Cool Gray 5 C,13189,73,-1,0
PANTONE Cool Gray 6 C,13190,69,-1,-2
PANTONE Cool Gray 7 C,13191,63,-1,-2
PANTONE Cool Gray 8 C,13192,58,-1,-2
PANTONE Cool Gray 9 C,13193,50,-1,-3
PANTONE Dark Blue C,13194,21,31,-69
PANTONE Green C,13195,62,-47,9
PANTONE Medium Purple C,13196,21,49,-59
PANTONE Orange 021 C,13197,60,64,70
PANTONE Pink C,13198,50,71,-18
PANTONE Process Blue C,13199,52,-12,-45
PANTONE Purple C,13200,46,67,-44
PANTONE Red 032 C,13201,54,70,40
PANTONE Reflex Blue C,13202,16,34,-66
PANTONE Rhodamine Red C,13203,50,78,-18
PANTONE Rubine Red C,13204,45,70,13
PANTONE Violet C,13205,21,49,-67
PANTONE Warm Gray 1 C,13206,85,1,4
PANTONE Warm Gray 10 C,13207,47,2,7
PANTONE Warm Gray 11 C,13208,42,3,7
PANTONE Warm Gray 2 C,13209,79,1,5
PANTONE Warm Gray 3 C,13210,75,1,5
PANTONE Warm Gray 4 C,13211,71,1,5
PANTONE Warm Gray 5 C,13212,68,1,5
PANTONE Warm Gray 6 C,13213,65,2,5
PANTONE Warm Gray 7 C,13214,59,2,6
PANTONE Warm Gray 8 C,13215,55,3,6
PANTONE Warm Gray 9 C,13216,51,2,7
PANTONE Warm Red C,13217,57,68,48
PANTONE Yellow 012 C,13218,87,2,86
PANTONE Yellow C,13219,89,-1,87
